geometry,OBJECTID,TAGID,CNAME1,CNAME2,CNAME3,GENUS,SPECIES,CULTIVAR,DIAMETER,DBHHEIGHT,NUMTRUNK,HEIGHT,TRUNKHEIGHT,CRADAVG,Latitude,Longitude,Long,longitude,latitude
POINT (-76.9530669 38.9890613),14158,0,Boxwood,Little Leaf,,Buxus,microphylla,,0,4.5,1,0,0,0,,,,-76.9530669,38.9890613
POINT (-76.9440307 38.9878127),14159,1194,Scholar-Tree,Japanese,,Styphnolobium,japonicum,,6.8,4.5,1,23,4,10.8,,,,-76.9440307,38.9878127
POINT (-76.9529097 38.9856939),14160,2933,Maple,Red,,Acer,rubrum,,13.5,4.5,1,0,0,0,,,,-76.9529097,38.9856939
POINT (-76.9428452 38.9952353),14161,0,Maple,Red,,Acer,rubrum,,3.5,4.5,1,0,0,0,,,,-76.9428452,38.9952353
POINT (-76.9494441 38.9914206),14162,0,Cherry,Ornamental,Okame,Prunus,x incamp,Okame,3.4,4.5,1,0,0,0,,,,-76.9494441,38.9914206
POINT (-76.9492958 38.9921382),14163,0,Yew,English,Densiformis,Taxus,baccata,Densiformis,0,4.5,1,2,0,1,,,,-76.9492958,38.9921382
POINT (-76.9379685 38.9905708),14164,3758,Locust,Honey,Thornless,Gleditsia,triacanthos var. inermis,,4.5,4.5,1,12,6,4.2,,,,-76.9379685,38.9905708
POINT (-76.941382 38.9839949),14165,0,Rose,Hybrid,Sunny Knock Out,Rosa,hybrida,Radsunny,0,4.5,1,2,0,1,,,,-76.941382,38.9839949
POINT (-76.9479807 38.9863542),14166,0,Azalea,,,Rhododendron,,,0,0,0,0,0,0,,,,-76.9479807,38.9863542
POINT (-76.9449589 38.9875815),14167,0,Crapemyrtle,Hybrid,Natchez,Lagerstroemia,x,Natchez,0,4.5,1,12,0,4,,,,-76.9449589,38.9875815
POINT (-76.9487586 38.9896039),14168,0,Pear,Ornamental,Cleveland Select,Pyrus,calleryana,Cleveland Select,3.8,4.5,1,0,0,0,,,,-76.9487586,38.9896039
POINT (-76.9480793 38.9921412),14169,0,Pear,Ornamental,,Pyrus,calleryana,,5,4.5,1,0,0,0,,,,-76.9480793,38.9921412
POINT (-76.9226613 38.9958715),14170,0,Yew,English,,Taxus,baccata,,0,4.5,1,2,0,1.2,,,,-76.9226613,38.9958715
POINT (-76.9442845 38.9863428),14171,949,Crabapple,,,Malus,x zumi,Calocarpa,8.2,2.6,1,18,7,10.1,,,,-76.9442845,38.9863428
POINT (-76.9518634 38.9903988),14172,0,Sweetspire,Virginia,Little Henry,Itea,virginica,Sprich,0,4.5,1,3,0,1.5,,,,-76.9518634,38.9903988
POINT (-76.951317 38.9904072),14173,0,Spiraea,Bumald,Anthony Waterer,Spiraea,x bumalda,Anthony Waterer,0,4.5,1,3,0,2,,,,-76.951317,38.9904072
POINT (-76.9489252 38.9867275),14174,0,Elm,American,Valley Forge,Ulmus,americana,Valley Forge,0,4.5,1,0,0,0,,,,-76.9489252,38.9867275
POINT (-76.9226445 38.9975314),14175,0,Redwood,Dawn,,Metasequoia,glyptostroboides,,13,1,1,39.5,1,11.5,,,,-76.9226445,38.9975314
POINT (-76.9405875 38.9843913),14176,131,Oak,White,,Quercus,alba,,33.3,4.5,1,75.7,11,37.4,,,,-76.9405875,38.9843913
POINT (-76.9463756 38.9833151),14177,0,Maple,Red,October Glory,Acer,rubrum,October Glory,5.4,4.5,1,25,6,8.7,,,,-76.9463756,38.9833151
POINT (-76.9477897 38.9921747),14178,0,Yew,Intermediate,,Taxus,x media,,0,4.5,1,0,0,0,,,,-76.9477897,38.9921747
POINT (-76.9468879 38.9919088),14179,0,Holly,Chinese,Burford,Ilex,cornuta,Burfordii,0,0,0,0,0,0,,,,-76.9468879,38.9919088
POINT (-76.9523531 38.9899675),14180,3165,Pine,Eastern White,,Pinus,strobus,,6.2,4.5,1,19.8,0.5,9.3,,,,-76.9523531,38.9899675
